price,area,bedrooms,toilets,direction,district,address,street,views,price_per_m2,room_density,quality_label
16.0,86.0,0,0,Unknown,Q.11,"Đường Lê Đại Hành, Phường 15, Quận 11",Lê Đại Hành,64,0.18604651162790697,0.0,Budget
15.0,86.0,2,2,Unknown,Q.11,"Đường Lê Đại Hành, Phường 15, Quận 11",Lê Đại Hành,38,0.1744186046511628,0.046511627906976744,Budget
3.0,25.0,0,0,Unknown,Q.4,"Đường Đoàn Văn Bơ, Phường 16, Quận 4",Đoàn Văn Bơ,58,0.12,0.0,Budget
40.0,200.0,5,3,Unknown,Q.2,"Đường Lương Định Của, Phường An Phú, Quận 2",Lương Định Của,103,0.2,0.04,Budget
25.0,160.0,2,2,Unknown,Q.Thủ Đức,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức",Phạm Văn Đồng,140,0.15625,0.025,Budget
14.0,57.0,2,1,Unknown,Q.Tân Bình,"108 Đường Hồng Hà, Phường 2, Tân Bình",Hồng Hà,52,0.24561403508771928,0.05263157894736842,Standard
15.0,99.0,3,2,Unknown,Q.9,"Đường Song Hành, Phường Phú Hữu, Quận 9",Song Hành,70,0.15151515151515152,0.050505050505050504,Budget
8.0,65.0,2,2,Unknown,Q.11,"Dự án Chung cư Phú Thọ, Đường Nguyễn Thị Nhỏ, Phường 15, Quận 11",Nguyễn Thị Nhỏ,58,0.12307692307692308,0.06153846153846154,Budget
18.0,70.0,2,2,Unknown,Q.4,"Đường Bến Vân Đồn, Phường 2, Quận 4",Bến Vân Đồn,68,0.2571428571428571,0.05714285714285714,Standard
10.0,75.0,2,2,Unknown,Q.6,"29 Đường Bình Phú, Phường 10, Quận 6",Bình Phú,88,0.13333333333333333,0.05333333333333334,Budget
14.0,60.0,0,0,Unknown,Q.4,"Đường Nguyễn Khoái, Phường 1, Quận 4",Nguyễn Khoái,67,0.23333333333333334,0.0,Budget
12.0,78.0,2,2,Unknown,Q.4,"Đường Bến Vân Đồn, Phường 1, Quận 4",Bến Vân Đồn,53,0.15384615384615385,0.05128205128205128,Budget
13.0,77.0,2,2,Unknown,Q.4,"Đường Bến Vân Đồn, Phường 1, Quận 4",Bến Vân Đồn,55,0.16883116883116883,0.05194805194805195,Budget
15.0,100.0,3,2,Unknown,Q.4,"Đường Bến Vân Đồn, Phường 1, Quận 4",Bến Vân Đồn,48,0.15,0.05,Budget
12.0,74.0,2,2,Unknown,Q.3,"Screc Tower, 974A, Đường Trường Sa, Phường 12, Quận 3",Trường Sa,42,0.16216216216216217,0.05405405405405406,Budget
12.0,50.0,1,1,Unknown,Q.Tân Bình,"5B Đường Phổ Quang, Phường 2, Tân Bình",Phổ Quang,32,0.24,0.04,Budget
20.0,130.0,3,3,Unknown,Q.5,"Đường Hồng Bàng, Phường 12, Quận 5",Hồng Bàng,77,0.15384615384615385,0.046153846153846156,Budget
8.5,36.0,0,0,Unknown,Q.8,"Đường Tạ Quang Bửu, Phường 5, Quận 8",Tạ Quang Bửu,74,0.2361111111111111,0.0,Budget
12.5,78.0,2,2,Unknown,Q.5,"Đường Tản Đà, Phường 11, Quận 5",Tản Đà,84,0.16025641025641027,0.05128205128205128,Budget
6.5,49.0,1,0,Unknown,Q.12,"Dự án Thái An Apartment, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12",Nguyễn Văn Quá,82,0.1326530612244898,0.02040816326530612,Budget
6.5,49.0,0,0,Unknown,Q.12,"Dự án Thái An Apartment, Đường Quốc lộ 1A, Phường Trung Mỹ Tây, Quận 12",Quốc lộ 1A,72,0.1326530612244898,0.0,Budget
15.0,90.0,3,2,Unknown,Q.11,"Đường Lê Đại Hành, Phường 15, Quận 11",Lê Đại Hành,58,0.16666666666666666,0.05555555555555555,Budget
20.0,97.0,0,0,Unknown,Q.11,"Đường Lê Đại Hành, Phường 15, Quận 11",Lê Đại Hành,49,0.20618556701030927,0.0,Budget
25.0,116.0,0,0,Unknown,Q.11,"Đường 3/2, Phường 15, Quận 11",3/2,70,0.21551724137931033,0.0,Budget
25.0,60.0,5,6,Unknown,Q.7,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7",Lâm Văn Bền,53,0.4166666666666667,0.18333333333333332,Premium
15.0,60.0,0,0,Unknown,Q.11,"Đường Hồng Bàng, Phường 9, Quận 11",Hồng Bàng,78,0.25,0.0,Standard
12.0,85.0,2,2,Unknown,Q.1,"Dự án Central Garden Đường Võ Văn Kiệt, Phường Cô Giang, Quận 1",Võ Văn Kiệt,78,0.1411764705882353,0.047058823529411764,Budget
14.0,90.0,3,2,Unknown,Q.Phú Nhuận,"48 Đường Hoa Sứ, Phường 7, Phú Nhuận",Hoa Sứ,35,0.15555555555555556,0.05555555555555555,Budget
10.0,70.0,2,2,Unknown,Q.9,"Đường Thủy Lợi, Phường Phước Long A, Quận 9",Thủy Lợi,82,0.14285714285714285,0.05714285714285714,Budget
12.0,96.0,3,2,Unknown,Q.8,"Đường Võ Văn Kiệt, Phường 16, Quận 8",Võ Văn Kiệt,70,0.125,0.052083333333333336,Budget
15.0,81.0,2,2,Unknown,Q.3,"Đường Trường Sa, Phường 12, Quận 3",Trường Sa,52,0.18518518518518517,0.04938271604938271,Budget
40.0,150.0,0,0,Unknown,Q.Bình Thạnh,"Đường Lam Sơn, Phường 6, Bình Thạnh",Lam Sơn,107,0.26666666666666666,0.0,Standard
12.0,42.0,0,0,Unknown,Q.5,"Đường An Dương Vương, Phường 4, Quận 5",An Dương Vương,36,0.2857142857142857,0.0,Standard
35.0,126.0,3,4,Unknown,Q.Phú Nhuận,"126B Đường Phan Đăng Lưu, Phường 3, Phú Nhuận",Phan Đăng Lưu,31,0.2777777777777778,0.05555555555555555,Standard
26.0,100.0,4,0,Unknown,Q.3,"351/10a Đường Lê Văn Sỹ, Phường 14, Quận 3",Lê Văn Sỹ,63,0.26,0.04,Standard
40.0,125.0,6,0,Unknown,Q.Gò Vấp,"Đường Phan Văn Trị, Phường 10, Gò Vấp",Phan Văn Trị,93,0.32,0.048,Standard
14.0,100.0,3,2,Unknown,Q.1,"Dự án BMC Bến Chương Dương Đường Bến Chương Dương, Phường Cô Giang, Quận 1",Bến Chương Dương,90,0.14,0.05,Budget
15.0,105.0,3,2,Unknown,Q.5,"Đường Tản Đà, Phường 11, Quận 5",Tản Đà,84,0.14285714285714285,0.047619047619047616,Budget
15.0,105.0,3,2,Unknown,Q.5,"Đường Tản Đà, Phường 11, Quận 5",Tản Đà,91,0.14285714285714285,0.047619047619047616,Budget
15.0,95.0,3,2,Unknown,Q.11,"Đường Lạc Long Quân, Phường 10, Quận 11",Lạc Long Quân,78,0.15789473684210525,0.05263157894736842,Budget
18.0,132.0,3,3,Unknown,Q.5,"Đường Hồng Bàng, Phường 10, Quận 5",Hồng Bàng,78,0.13636363636363635,0.045454545454545456,Budget
10.5,92.0,2,2,Unknown,Q.8,"Đường Âu Dương Lân, Phường 3, Quận 8",Âu Dương Lân,72,0.11413043478260869,0.043478260869565216,Budget
15.0,81.0,2,2,Unknown,Q.3,"Đường Trường Sa, Phường 12, Quận 3",Trường Sa,49,0.18518518518518517,0.04938271604938271,Budget
14.0,101.0,3,2,Unknown,Q.5,"Đường Tản Đà, Phường 11, Quận 5",Tản Đà,78,0.13861386138613863,0.04950495049504951,Budget
12.5,85.0,2,2,Unknown,Q.4,"Đường Bến Vân Đồn, Phường 1, Quận 4",Bến Vân Đồn,88,0.14705882352941177,0.047058823529411764,Budget
40.0,125.0,0,0,Unknown,Q.Phú Nhuận,"100E Đường Nguyễn Công Hoan, Phường 7, Phú Nhuận",Nguyễn Công Hoan,56,0.32,0.0,Standard
23.0,110.0,2,3,Unknown,Q.1,"Đường Trần Quang Khải, Phường Tân Định, Quận 1",Trần Quang Khải,12,0.20909090909090908,0.045454545454545456,Budget
15.0,87.0,2,0,Unknown,Q.11,"Đường Lê Đại Hành, Phường 15, Quận 11",Lê Đại Hành,36,0.1724137931034483,0.022988505747126436,Budget
36.0,80.0,0,0,Unknown,Q.Phú Nhuận,"110 Đường Phùng Văn Cung, Phường 7, Phú Nhuận",Phùng Văn Cung,29,0.45,0.0,Premium
40.0,98.0,4,4,Unknown,Q.Phú Nhuận,"20/ Đường Hoàng Diệu, Phường 10, Phú Nhuận",Hoàng Diệu,53,0.40816326530612246,0.08163265306122448,Premium
14.0,35.0,0,0,Unknown,Q.3,"Đường Nguyễn Phúc Nguyên, Phường 3, Quận 3",Nguyễn Phúc Nguyên,54,0.4,0.0,Premium
30.0,200.0,4,3,Unknown,Q.Bình Thạnh,"212 Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh",Nguyễn Văn Đậu,53,0.15,0.035,Budget
50.0,192.0,0,0,Unknown,Q.Phú Nhuận,"329 Đường Phan Xích Long, Phường 1, Phú Nhuận",Phan Xích Long,73,0.2604166666666667,0.0,Standard
13.0,28.0,3,3,Unknown,Q.5,"119/19/3, Đường Nguyễn Văn Cừ, Phường 2, Quận 5",Nguyễn Văn Cừ,77,0.4642857142857143,0.21428571428571427,Premium
25.0,100.0,5,5,Unknown,Q.Tân Bình,"20A Đường Nguyễn Thái Bình, Phường 4, Tân Bình",Nguyễn Thái Bình,51,0.25,0.1,Standard
35.0,110.0,5,3,Unknown,Q.Phú Nhuận,"308 Đường Trường Sa, Phường 2, Phú Nhuận",Trường Sa,62,0.3181818181818182,0.07272727272727272,Standard
30.0,99.0,0,0,Unknown,Q.Bình Thạnh,"Đường Lam Sơn, Phường 5, Bình Thạnh",Lam Sơn,57,0.30303030303030304,0.0,Standard
35.0,90.0,5,4,Unknown,Q.10,"Đường Bà Hạt, Phường 6, Quận 10",Bà Hạt,93,0.3888888888888889,0.1,Premium
40.0,108.0,3,4,Unknown,Q.Tân Bình,"260B Đường Nguyễn Thái Bình, Phường 12, Tân Bình",Nguyễn Thái Bình,22,0.37037037037037035,0.06481481481481481,Premium
25.0,90.0,5,4,Unknown,Q.Tân Bình,"1/3A Đường Út Tịch, Phường 4, Tân Bình",Út Tịch,36,0.2777777777777778,0.1,Standard
23.0,90.0,0,0,Unknown,Q.3,"42 Đường Bàn Cờ, Phường 3, Quận 3",Bàn Cờ,59,0.25555555555555554,0.0,Standard
45.0,84.0,7,4,Unknown,Q.Phú Nhuận,"75 Đường Phan Đăng Lưu, Phường 7, Phú Nhuận",Phan Đăng Lưu,59,0.5357142857142857,0.13095238095238096,Premium
45.0,115.0,5,6,Unknown,Q.Phú Nhuận,"58A Đường Hoa Phượng, Phường 2, Phú Nhuận",Hoa Phượng,66,0.391304347826087,0.09565217391304348,Premium
40.0,90.0,3,4,Unknown,Q.Phú Nhuận,"112 Đường Hoa Phượng, Phường 2, Phú Nhuận",Hoa Phượng,47,0.4444444444444444,0.07777777777777778,Premium
40.0,143.0,3,4,Unknown,Q.Bình Thạnh,"D005 Đường Miếu Nổi, Phường 3, Bình Thạnh",Miếu Nổi,100,0.27972027972027974,0.04895104895104895,Standard
45.0,175.0,0,0,Unknown,Q.Bình Thạnh,"Đường Lê Quang Định, Phường 7, Bình Thạnh",Lê Quang Định,48,0.2571428571428571,0.0,Standard
50.0,160.0,0,0,Unknown,Q.1,"18c Đường Trần Nhật Duật, Phường Tân Định, Quận 1",Trần Nhật Duật,103,0.3125,0.0,Standard
30.0,136.0,0,0,Unknown,Q.Bình Thạnh,"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh",Nguyễn Văn Đậu,37,0.22058823529411764,0.0,Budget
20.0,81.0,4,4,Unknown,Q.Tân Bình,"125B Đường Nguyễn Thái Bình, Phường 4, Tân Bình",Nguyễn Thái Bình,47,0.24691358024691357,0.09876543209876543,Standard
25.0,64.0,4,5,Unknown,Q.Bình Thạnh,"63/18A Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh",Hoàng Hoa Thám,54,0.390625,0.140625,Premium
50.0,176.0,0,0,Unknown,Q.Bình Thạnh,"230 Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh",Nguyễn Gia Trí,73,0.2840909090909091,0.0,Standard
25.0,120.0,0,0,Unknown,Q.Bình Thạnh,"Đường Chu Văn An, Phường 12, Bình Thạnh",Chu Văn An,77,0.20833333333333334,0.0,Budget
10.0,21.0,2,2,Unknown,Q.10,"Đường Sư Vạn Hạnh, Phường 13, Quận 10",Sư Vạn Hạnh,64,0.47619047619047616,0.19047619047619047,Premium
31.0,126.0,5,4,Unknown,Q.Phú Nhuận,"29F Đường Đoàn Thị Điểm, Phường 1, Phú Nhuận",Đoàn Thị Điểm,54,0.24603174603174602,0.07142857142857142,Standard
10.0,45.0,0,0,Unknown,Q.6,"233 Đường Văn Thân, Phường 7, Quận 6",Văn Thân,77,0.2222222222222222,0.0,Budget
3.5,22.0,0,0,Unknown,Q.Phú Nhuận,"Đường Đặng Văn Ngữ, Phường 10, Phú Nhuận",Đặng Văn Ngữ,71,0.1590909090909091,0.0,Budget
15.0,150.0,0,0,Unknown,Q.9,"Đường Nguyễn Duy Trinh, Phường Long Trường, Quận 9",Nguyễn Duy Trinh,80,0.1,0.0,Budget
16.0,40.0,0,0,Unknown,Q.7,"Đường Mỹ Hưng, Phường Phú Mỹ, Quận 7",Mỹ Hưng,61,0.4,0.0,Premium
14.0,48.0,2,2,Unknown,Q.5,"128B Đường Trần Phú, Phường 4, Quận 5",Trần Phú,92,0.2916666666666667,0.08333333333333333,Standard
10.0,32.0,0,0,SW,Q.Tân Bình,"Đường Nghĩa Hòa, Phường 6, Tân Bình",Nghĩa Hòa,6,0.3125,0.0,Standard
30.0,80.0,2,3,Unknown,Q.3,"382/10B Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3",Nguyễn Thị Minh Khai,162,0.375,0.0625,Premium
3.5,55.0,1,1,Unknown,Q.Bình Tân,"Đường Bình Thành, Phường Bình Hưng Hòa B, Bình Tân",Bình Thành,79,0.06363636363636363,0.03636363636363636,Budget
35.0,90.0,5,4,Unknown,Q.3,"371/8A Đường Võ Thị Sáu, Phường 8, Quận 3",Võ Thị Sáu,62,0.3888888888888889,0.1,Premium
20.0,80.0,4,3,Unknown,Q.Phú Nhuận,"Hẻm 55 Đường Phan Đăng Lưu, Phường 7, Phú Nhuận",Phan Đăng Lưu,39,0.25,0.0875,Standard
23.0,90.0,0,0,Unknown,Q.6,"Đường 25, Phường 10, Quận 6",25,114,0.25555555555555554,0.0,Standard
25.0,100.0,5,4,Unknown,Q.Tân Bình,"24A Đường Nguyễn Thái Bình, Phường 4, Tân Bình",Nguyễn Thái Bình,65,0.25,0.09,Standard
17.0,40.0,3,4,Unknown,Q.Phú Nhuận,"178/ Đường Phan Đăng Lưu, Phường 3, Phú Nhuận",Phan Đăng Lưu,29,0.425,0.175,Premium
50.0,130.0,4,4,Unknown,Q.Bình Thạnh,"81/ Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh",Nguyễn Cửu Vân,89,0.38461538461538464,0.06153846153846154,Premium
8.0,18.0,1,2,Unknown,Q.1,"Hẻm 68 Đường Trần Quang Khải, Phường Tân Định, Quận 1",Trần Quang Khải,107,0.4444444444444444,0.16666666666666666,Premium
48.0,110.0,6,4,Unknown,Q.Phú Nhuận,"192b Đường Phan Xích Long, Phường 2, Phú Nhuận",Phan Xích Long,34,0.43636363636363634,0.09090909090909091,Premium
30.0,126.0,0,0,Unknown,Q.Phú Nhuận,"Đường Nguyễn Văn Trỗi, Phường 11, Phú Nhuận",Nguyễn Văn Trỗi,52,0.23809523809523808,0.0,Budget
18.0,110.0,1,2,Unknown,Q.Tân Bình,"113A Đường Bành Văn Trân, Phường 7, Tân Bình",Bành Văn Trân,53,0.16363636363636364,0.02727272727272727,Budget
28.0,80.0,0,0,Unknown,Q.Tân Bình,"Đường Hoàng Việt, Phường 4, Tân Bình",Hoàng Việt,54,0.35,0.0,Premium
26.0,68.0,4,0,Unknown,Q.Tân Bình,"134 Đường Nguyễn Thái Bình, Phường 12, Tân Bình",Nguyễn Thái Bình,21,0.38235294117647056,0.058823529411764705,Premium
27.0,85.0,4,4,Unknown,Q.Tân Bình,"15A Đường Út Tịch, Phường 4, Tân Bình",Út Tịch,58,0.3176470588235294,0.09411764705882353,Standard
29.0,89.0,3,4,Unknown,Q.10,"456A Đường Cao Thắng, Phường 12, Quận 10",Cao Thắng,94,0.3258426966292135,0.07865168539325842,Standard
32.0,100.0,0,0,Unknown,Q.5,"Đường An Dương Vương, Phường 3, Quận 5",An Dương Vương,68,0.32,0.0,Standard
20.0,80.0,0,0,Unknown,Q.Phú Nhuận,"Đường Trần Khắc Chân, Phường 9, Phú Nhuận",Trần Khắc Chân,60,0.25,0.0,Standard
30.0,65.0,4,5,Unknown,Q.Tân Bình,"373 Đường Lý Thường Kiệt, Phường 9, Tân Bình",Lý Thường Kiệt,89,0.46153846153846156,0.13846153846153847,Premium
25.0,60.0,5,3,Unknown,Q.3,"378/ Đường Võ Văn Tần, Phường 5, Quận 3",Võ Văn Tần,55,0.4166666666666667,0.13333333333333333,Premium
25.0,72.0,4,4,Unknown,Q.Tân Bình,"Đường Lý Thường Kiệt, Phường 9, Tân Bình",Lý Thường Kiệt,95,0.3472222222222222,0.1111111111111111,Premium
35.0,75.0,5,4,Unknown,Q.10,"Đường Hoàng Dư Khương, Phường 12, Quận 10",Hoàng Dư Khương,54,0.4666666666666667,0.12,Premium
22.0,78.0,3,4,Unknown,Q.Tân Bình,"27A Đường Phạm Cự Lượng, Phường 2, Tân Bình",Phạm Cự Lượng,47,0.28205128205128205,0.08974358974358974,Standard
7.3,95.0,0,0,Unknown,Q.12,"5A Đường Quốc lộ 1A, Phường Tân Thới Hiệp, Quận 12",Quốc lộ 1A,90,0.07684210526315789,0.0,Budget
30.0,100.0,5,5,Unknown,Q.Tân Bình,"Đường Bạch Đằng, Phường 2, Tân Bình",Bạch Đằng,50,0.3,0.1,Standard
30.0,68.0,5,4,Unknown,Q.Tân Bình,"A75 Đường Bạch Đằng, Phường 2, Tân Bình",Bạch Đằng,52,0.4411764705882353,0.1323529411764706,Premium
21.5,63.0,5,6,Unknown,Q.3,"Đường Trần Quang Diệu, Phường 14, Quận 3",Trần Quang Diệu,46,0.3412698412698413,0.1746031746031746,Standard
25.0,60.0,5,3,Unknown,Q.3,"Hẻm 524 Đường Nguyễn Đình Chiểu, Phường 4, Quận 3",Nguyễn Đình Chiểu,35,0.4166666666666667,0.13333333333333333,Premium
16.0,80.0,4,4,Unknown,Q.Phú Nhuận,"80 Đường Đặng Văn Ngữ, Phường 13, Phú Nhuận",Đặng Văn Ngữ,20,0.2,0.1,Budget
5.5,56.0,2,2,Unknown,Q.9,"Đường Số 8, Phường Long Phước, Quận 9",Số 8,74,0.09821428571428571,0.07142857142857142,Budget
45.0,78.0,7,0,Unknown,Q.1,"76 Đường Thạch Thị Thanh, Phường Tân Định, Quận 1",Thạch Thị Thanh,67,0.5769230769230769,0.08974358974358974,Premium
20.0,72.0,4,4,Unknown,Q.6,"Đường 28, Phường 10, Quận 6",28,69,0.2777777777777778,0.1111111111111111,Standard
11.0,29.0,0,0,Unknown,Q.3,"47 Đường Trần Quốc Toản, Phường 1, Quận 3",Trần Quốc Toản,66,0.3793103448275862,0.0,Premium
12.0,75.0,3,3,Unknown,Q.9,"Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9",Bưng Ông Thoàn,99,0.16,0.08,Budget
13.0,75.0,3,4,Unknown,Q.9,"Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9",Bưng Ông Thoàn,48,0.17333333333333334,0.09333333333333334,Budget
22.0,60.0,4,3,Unknown,Q.8,"Đường Hoàng Kim Giao, Phường 5, Quận 8",Hoàng Kim Giao,46,0.36666666666666664,0.11666666666666667,Premium
18.0,55.0,1,1,Unknown,Q.3,"Đường Nguyễn Đình Chiểu, Phường 6, Quận 3",Nguyễn Đình Chiểu,37,0.32727272727272727,0.03636363636363636,Standard
5.5,35.0,1,1,Unknown,Q.2,"Dự án Lakeview City Đường Song Hành, Phường An Phú, Quận 2",Song Hành,84,0.15714285714285714,0.05714285714285714,Budget
3.4,25.0,0,0,Unknown,Q.Bình Tân,"Đường M1, Phường Bình Hưng Hòa, Bình Tân",M1,57,0.136,0.0,Budget
2.0,20.0,0,0,Unknown,Q.Tân Phú,"Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ, Tân Phú",Bờ Bao Tân Thắng,103,0.1,0.0,Budget
18.0,45.0,0,0,Unknown,Q.2,"Đường Số 69, Phường Thạnh Mỹ Lợi, Quận 2",Số 69,93,0.4,0.0,Premium
35.0,90.0,0,0,Unknown,Q.4,"Đường Bến Vân Đồn, Phường 6, Quận 4",Bến Vân Đồn,44,0.3888888888888889,0.0,Premium
16.0,150.0,0,0,Unknown,Q.9,"Đường Huy Cận, Phường Phước Long B, Quận 9",Huy Cận,43,0.10666666666666667,0.0,Budget
25.0,116.0,0,0,Unknown,Q.11,"Đường 3/2, Phường 15, Quận 11",3/2,73,0.21551724137931033,0.0,Budget
13.0,52.0,2,2,Unknown,Q.Bình Thạnh,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh",Xô Viết Nghệ Tĩnh,24,0.25,0.07692307692307693,Standard
30.0,120.0,0,0,Unknown,Q.4,"Đường Vĩnh Khánh, Phường 10, Quận 4",Vĩnh Khánh,49,0.25,0.0,Standard
18.0,80.0,0,0,Unknown,Q.3,"Đường Nguyễn Thị Minh Khai, Phường 6, Quận 3",Nguyễn Thị Minh Khai,36,0.225,0.0,Budget
