Giá,Diện tích,Số phòng ngủ,Số toilet,Hướng nhà,Địa chỉ nhà,Ngày đăng tin,Ngày hết hạn,Mã tin,Quận,Đường,Lượt xem
55 Triệu/Tháng,160 m²,6 PN,7,---,"Địa chỉ:  Đường Cửu Long, Phường 15, Quận 10, Hồ Chí Minh",30/08/2023,14/09/2023,12745,Quận 10,Đường Cửu Long,Lượt xem: 48
42 Triệu/Tháng,200 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình, Hồ Chí Minh",30/08/2023,14/09/2023,12701,Quận Tân Bình,Đường Nguyễn Minh Hoàng,Lượt xem: 44
35 Triệu/Tháng,115 m²,0 PN,0,---,"Địa chỉ:  31a/2 Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh",06/09/2023,21/09/2023,12854,Quận Tân Bình,Đường Hoàng Hoa Thám,Lượt xem: 49
25 Triệu/Tháng,126 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh",04/10/2023,19/10/2023,13504,Quận 7,Đường Nguyễn Hữu Thọ,Lượt xem: 54
13 Triệu/Tháng,450 m²,3 PN,2,---,"Địa chỉ:  Đường An Phú Đông 25, Phường An Phú Đông, Quận 12, Hồ Chí Minh",17/07/2023,01/08/2023,10392,Quận 12,Đường An Phú Đông 25,Lượt xem: 81
168 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  Đường Điện Biên Phủ, Phường 15, Bình Thạnh, Hồ Chí Minh",16/12/2023,30/12/2023,19444,Quận Bình Thạnh,Đường Điện Biên Phủ,Lượt xem: 10
27 Triệu/Tháng,300 m²,4 PN,4,---,"Địa chỉ:  Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",15/12/2023,29/12/2023,19353,Quận 3,Đường Trần Quang Diệu,Lượt xem: 12
37 Triệu/Tháng,176 m²,5 PN,6,---,"Địa chỉ:  Đường Số 5, Phường An Phú, Quận 2, Hồ Chí Minh",30/08/2023,14/09/2023,12728,Quận 2,Đường Số 5,Lượt xem: 87
45 Triệu/Tháng,160 m²,0 PN,0,---,"Địa chỉ:  57k Đường Tú Xương, Phường 9, Quận 3, Hồ Chí Minh",19/06/2023,04/07/2023,8744,Quận 3,Đường Tú Xương,Lượt xem: 118
68 Triệu/Tháng,0 m²,4 PN,4,---,"Địa chỉ:  Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",18/12/2023,01/01/2024,19916,Quận 3,Đường Trần Quang Diệu,Lượt xem: 9
196 Triệu/Tháng,0 m²,0 PN,0,---,"Địa chỉ:  Đường Võ Văn Tần, Phường 6, Quận 3, Hồ Chí Minh",08/12/2023,22/12/2023,18194,Quận 3,Đường Võ Văn Tần,Lượt xem: 11
45 Triệu/Tháng,500 m²,0 PN,0,---,"Địa chỉ:  Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",23/08/2023,07/09/2023,12477,Quận Tân Bình,Đường Phổ Quang,Lượt xem: 66
50 Triệu/Tháng,90 m²,0 PN,5,---,"Địa chỉ:  436/3a Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",29/09/2023,14/10/2023,13244,Quận 10,Đường 3/2,Lượt xem: 58
30 Triệu/Tháng,169 m²,0 PN,0,---,"Địa chỉ:  Đường Phước Hữu, Phường Phước Long B, Quận 9, Hồ Chí Minh",07/10/2023,22/10/2023,13687,Quận 9,Đường Phước Hữu,Lượt xem: 54
55 Triệu/Tháng,300 m²,5 PN,4,Nam,"Địa chỉ:  Đường Cộng Hoà, Phường 12, Tân Bình, Hồ Chí Minh",18/12/2023,01/01/2024,19885,Quận Tân Bình,Đường Cộng Hòa,Lượt xem: 7
20 Triệu/Tháng,160 m²,3 PN,3,---,"Địa chỉ:  Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",19/08/2023,03/09/2023,12152,Quận 9,Đường Đỗ Xuân Hợp,Lượt xem: 44
20 Triệu/Tháng,136 m²,4 PN,3,---,"Địa chỉ:  Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",19/08/2023,03/09/2023,12155,Quận 9,Đường Võ Chí Công,Lượt xem: 44
150 Triệu/Tháng,620 m²,5 PN,6,Nam,"Địa chỉ:  Đường Bạch Mã, Phường 15, Quận 10, Hồ Chí Minh",08/12/2023,22/12/2023,18298,Quận 10,Đường Bạch Mã,Lượt xem: 13
320 Triệu/Tháng,1000 m²,0 PN,10,---,"Địa chỉ:  Đường Phan Kế Bính, Phường Đa Kao, Quận 1, Hồ Chí Minh",09/12/2023,23/12/2023,18342,Quận 1,Đường Phan Kế Bính,Lượt xem: 12
40 Triệu/Tháng,144 m²,3 PN,2,---,"Địa chỉ:  Dự án Feliz En Vista, Đường Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12/06/2023,27/06/2023,7916,Quận 2,Đường Đồng Văn Cống,Lượt xem: 90
10 Triệu/Tháng,70 m²,2 PN,2,---,"Địa chỉ:  Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh",14/07/2023,29/07/2023,10042,Quận 8,Đường Cao Lỗ,Lượt xem: 61
16 Triệu/Tháng,86 m²,0 PN,0,---,"Địa chỉ:  Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",16/08/2023,31/08/2023,12001,Quận 11,Đường Lê Đại Hành,Lượt xem: 64
15 Triệu/Tháng,86 m²,2 PN,2,---,"Địa chỉ:  Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",17/07/2023,01/08/2023,10298,Quận 11,Đường Lê Đại Hành,Lượt xem: 38
3 Triệu/Tháng,25 m²,0 PN,0,---,"Địa chỉ:  Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",07/08/2023,22/08/2023,11428,Quận 4,Đường Đoàn Văn Bơ,Lượt xem: 58
40 Triệu/Tháng,200 m²,5 PN,3,---,"Địa chỉ:  Đường Lương Định Của, Phường An Phú, Quận 2, Hồ Chí Minh",24/04/2023,09/05/2023,5904,Quận 2,Đường Lương Định Của,Lượt xem: 103
70 Triệu/Tháng,243 m²,4 PN,4,---,"Địa chỉ:  Đường Điện Biên Phủ, Phường 15, Bình Thạnh, Hồ Chí Minh",28/10/2023,12/11/2023,14988,Quận Bình Thạnh,Đường Điện Biên Phủ,Lượt xem: 73
25 Triệu/Tháng,160 m²,2 PN,2,---,"Địa chỉ:  Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",28/04/2023,13/05/2023,6035,Quận Thủ Đức,Đường Phạm Văn Đồng,Lượt xem: 140
14 Triệu/Tháng,57 m²,2 PN,1,---,"Địa chỉ:  108 Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh",18/07/2023,02/08/2023,10563,Quận Tân Bình,Đường Hồng Hà,Lượt xem: 52
15 Triệu/Tháng,99 m²,3 PN,2,---,"Địa chỉ:  Đường Song Hành, Phường Phú Hữu, Quận 9, Hồ Chí Minh",19/08/2023,03/09/2023,12140,Quận 9,Đường Song Hành,Lượt xem: 70
8 Triệu/Tháng,65 m²,2 PN,2,---,"Địa chỉ:  Dự án Chung cư Phú Thọ, Đường Nguyễn Thị Nhỏ, Phường 15, Quận 11, Hồ Chí Minh",23/06/2023,08/07/2023,8986,Quận 11,Đường Nguyễn Thị Nhỏ,Lượt xem: 58
18 Triệu/Tháng,70 m²,2 PN,2,---,"Địa chỉ:  Đường Bến Vân Đồn, Phường 2, Quận 4, Hồ Chí Minh",20/07/2023,04/08/2023,10786,Quận 4,Đường Bến Vân Đồn,Lượt xem: 68
10 Triệu/Tháng,75 m²,2 PN,2,---,"Địa chỉ:  29 Đường Bình Phú, Phường 10, Quận 6, Hồ Chí Minh",08/07/2023,23/07/2023,9787,Quận 6,Đường Bình Phú,Lượt xem: 88
14 Triệu/Tháng,60 m²,0 PN,0,---,"Địa chỉ:  Đường Nguyễn Khoái, Phường 1, Quận 4, Hồ Chí Minh",03/07/2023,18/07/2023,9591,Quận 4,Đường Nguyễn Khoái,Lượt xem: 67
12 Triệu/Tháng,78 m²,2 PN,2,---,"Địa chỉ:  Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",03/07/2023,18/07/2023,9593,Quận 4,Đường Bến Vân Đồn,Lượt xem: 53
13 Triệu/Tháng,77 m²,2 PN,2,---,"Địa chỉ:  Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",03/07/2023,18/07/2023,9592,Quận 4,Đường Bến Vân Đồn,Lượt xem: 55
15 Triệu/Tháng,100 m²,3 PN,2,---,"Địa chỉ:  Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",03/07/2023,18/07/2023,9598,Quận 4,Đường Bến Vân Đồn,Lượt xem: 48
12 Triệu/Tháng,74 m²,2 PN,2,---,"Địa chỉ:  Screc Tower, 974A, Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",28/06/2023,13/07/2023,9386,Quận 3,Đường Trường Sa,Lượt xem: 42
12 Triệu/Tháng,50 m²,1 PN,1,---,"Địa chỉ:  5B Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",18/07/2023,02/08/2023,10555,Quận Tân Bình,Đường Phổ Quang,Lượt xem: 32
20 Triệu/Tháng,130 m²,3 PN,3,---,"Địa chỉ:  Đường Hồng Bàng, Phường 12, Quận 5, Hồ Chí Minh",21/07/2023,05/08/2023,10861,Quận 5,Đường Hồng Bàng,Lượt xem: 77
8.5 Triệu/Tháng,36 m²,0 PN,0,---,"Địa chỉ:  Đường Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",16/06/2023,01/07/2023,8579,Quận 8,Đường Tạ Quang Bửu,Lượt xem: 74
12.5 Triệu/Tháng,78 m²,2 PN,2,---,"Địa chỉ:  Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",06/07/2023,21/07/2023,9703,Quận 5,Đường Tản Đà,Lượt xem: 84
6.5 Triệu/Tháng,49 m²,1 PN,0,---,"Địa chỉ:  Dự án Thái An Apartment, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",23/06/2023,08/07/2023,9067,Quận 12,Đường Nguyễn Văn Quá,Lượt xem: 82
6.5 Triệu/Tháng,49 m²,0 PN,0,---,"Địa chỉ:  Dự án Thái An Apartment, Đường Quốc lộ 1A, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",23/06/2023,08/07/2023,9065,Quận 12,Đường Quốc lộ 1A,Lượt xem: 72
15 Triệu/Tháng,90 m²,3 PN,2,---,"Địa chỉ:  Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",17/07/2023,01/08/2023,10289,Quận 11,Đường Lê Đại Hành,Lượt xem: 58
20 Triệu/Tháng,97 m²,0 PN,0,---,"Địa chỉ:  Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",16/08/2023,31/08/2023,12004,Quận 11,Đường Lê Đại Hành,Lượt xem: 49
25 Triệu/Tháng,116 m²,0 PN,0,---,"Địa chỉ:  Đường 3/2, Phường 15, Quận 11, Hồ Chí Minh",16/08/2023,31/08/2023,12011,Quận 11,Đường 3/2,Lượt xem: 70
25 Triệu/Tháng,60 m²,5 PN,6,---,"Địa chỉ:  Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",04/10/2023,19/10/2023,13437,Quận 7,Đường Lâm Văn Bền,Lượt xem: 53
15 Triệu/Tháng,60 m²,0 PN,0,---,"Địa chỉ:  Đường Hồng Bàng, Phường 9, Quận 11, Hồ Chí Minh",15/07/2023,30/07/2023,10233,Quận 11,Đường Hồng Bàng,Lượt xem: 78
12 Triệu/Tháng,85 m²,2 PN,2,---,"Địa chỉ:  Dự án Central Garden Đường Võ Văn Kiệt, Phường Cô Giang, Quận 1, Hồ Chí Minh",24/05/2023,08/06/2023,6894,Quận 1,Đường Võ Văn Kiệt,Lượt xem: 78
14 Triệu/Tháng,90 m²,3 PN,2,---,"Địa chỉ:  48 Đường Hoa Sứ, Phường 7, Phú Nhuận, Hồ Chí Minh",18/07/2023,02/08/2023,10492,Quận Phú Nhuận,Đường Hoa Sứ,Lượt xem: 35
10 Triệu/Tháng,70 m²,2 PN,2,---,"Địa chỉ:  Đường Thủy Lợi, Phường Phước Long A, Quận 9, Hồ Chí Minh",14/07/2023,29/07/2023,10129,Quận 9,Đường Thủy Lợi,Lượt xem: 82
12 Triệu/Tháng,96 m²,3 PN,2,---,"Địa chỉ:  Đường Võ Văn Kiệt, Phường 16, Quận 8, Hồ Chí Minh",14/07/2023,29/07/2023,10045,Quận 8,Đường Võ Văn Kiệt,Lượt xem: 70
15 Triệu/Tháng,81 m²,2 PN,2,---,"Địa chỉ:  Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",28/06/2023,13/07/2023,9382,Quận 3,Đường Trường Sa,Lượt xem: 52
40 Triệu/Tháng,150 m²,0 PN,0,---,"Địa chỉ:  Đường Lam Sơn, Phường 6, Bình Thạnh, Hồ Chí Minh",06/06/2023,21/06/2023,7485,Quận Bình Thạnh,Đường Lam Sơn,Lượt xem: 107
45 Triệu/Tháng,300 m²,17 PN,17,---,"Địa chỉ:  Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",19/05/2023,03/06/2023,6644,Huyện Nhà Bè,Đường Lê Văn Lương,Lượt xem: 99
12 Triệu/Tháng,42 m²,0 PN,0,---,"Địa chỉ:  Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh",06/07/2023,21/07/2023,9712,Quận 5,Đường An Dương Vương,Lượt xem: 36
35 Triệu/Tháng,126 m²,3 PN,4,---,"Địa chỉ:  126B Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",22/05/2023,06/06/2023,6197,Quận Phú Nhuận,Đường Phan Đăng Lưu,Lượt xem: 31
26 Triệu/Tháng,100 m²,4 PN,0,---,"Địa chỉ:  351/10a Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",06/05/2023,21/05/2023,6236,Quận 3,Đường Lê Văn Sỹ,Lượt xem: 63
40 Triệu/Tháng,125 m²,6 PN,0,---,"Địa chỉ:  Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",21/06/2023,06/07/2023,8860,Quận Gò Vấp,Đường Phan Văn Trị,Lượt xem: 93
14 Triệu/Tháng,100 m²,3 PN,2,---,"Địa chỉ:  Dự án BMC Bến Chương Dương Đường Bến Chương Dương, Phường Cô Giang, Quận 1, Hồ Chí Minh",24/05/2023,08/06/2023,6895,Quận 1,Đường Bến Chương Dương,Lượt xem: 90
15 Triệu/Tháng,105 m²,3 PN,2,---,"Địa chỉ:  Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",06/07/2023,21/07/2023,9700,Quận 5,Đường Tản Đà,Lượt xem: 84
15 Triệu/Tháng,105 m²,3 PN,2,---,"Địa chỉ:  Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",21/07/2023,05/08/2023,10854,Quận 5,Đường Tản Đà,Lượt xem: 91
